DBID,Date,Animal Type,Species,Alive/Dead,Area,State,Longitude,Latitude,Est/Exact,Length,Width,Weight,Sex,Injured,Injury Desc.,Notes
85,24-11-97,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
86,17-01-98,Turtle,Green Sea Turtle,Live,Beverly Beach State Park,Oregon,-124.058,44.729,Estimate,0,0,0,Unknown,No Data,,
87,29-07-98,Turtle,Green Sea Turtle,Moderate Decomposition,"Carlsbad, South Carlsbad State Beach",California,-117.319,33.101,Estimate,0,0,0,No Data,No Data,,
88,15-08-98,Turtle,Green Sea Turtle,Alive,Ormond Beach Generating Station,California,-119.173,34.129,Estimate,0,0,0,No Data,No Data,,
89,01-10-98,Turtle,Green Sea Turtle,No Data,Ocean Cape,Alaska,-139.862,59.542,Estimate,0,0,0,No Data,No Data,,
90,10-04-99,Turtle,Green Sea Turtle,Fresh Dead,"Ano Nuevo State Reserve, 1.5 Miles North, Near Tab",California,-122.327,37.116,Estimate,0,0,0,No Data,No Data,,
91,30-05-99,Turtle,Green Sea Turtle,Alive,"Avila Beach, Diablo Canyon Nuclear Generating Station, Found Within Forebay Of Intake Structure",California,-120.856,35.211,Estimate,0,0,0,No Data,No Data,,
92,08-06-99,Turtle,Green Sea Turtle,Moderate Decomposition,"Mission Beach, Mission Beach",California,-117.247,32.77,Estimate,0,0,0,No Data,No Data,,
93,10-06-99,Turtle,Green Sea Turtle,Moderate Decomposition,"San Diego, On Beach By Mission Bay Visitor Center",California,-117.21,32.789,Exact,0,0,0,No Data,No Data,,
94,08-08-99,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
95,24-08-99,Turtle,Green Sea Turtle,Alive,"Avila Beach, Diablo Canyon Nuclear Generating Station, Unit #1-3 Forebay",California,-120.856,35.211,Estimate,0,0,0,No Data,No Data,,
96,31-10-99,Turtle,Green Sea Turtle,Live/Dead,Long Beach,Washington,-124.063,46.356,Estimate,0,0,0,Unknown,No Data,,
97,10-12-99,Turtle,Green Sea Turtle,Live/Dead,Agate Beach,Oregon,-124.067,44.676,Estimate,0,0,0,Unknown,No Data,,
98,13-12-99,Turtle,Green Sea Turtle,Live,Long Beach,Washington,-124.063,46.356,Estimate,0,0,0,Unknown,No Data,,
99,15-12-99,Turtle,Green Sea Turtle,Live,Pacific City,Oregon,-123.969,45.209,Estimate,0,0,0,Unknown,No Data,,
100,16-12-99,Turtle,Green Sea Turtle,Alive,"Elk, Greenwood Creek",California,-123.717,39.126,Exact,0,0,0,No Data,No Data,,
101,16-12-99,Turtle,Green Sea Turtle,Dead,Taholah,Washington,-124.292,47.341,Estimate,0,0,0,Unknown,No Data,,
102,16-12-99,Turtle,Green Sea Turtle,Dead,Ocean Shores,Washington,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,,
103,17-12-99,Turtle,Green Sea Turtle,Dead,Copalis,Washington,-124.18,47.116,Estimate,0,0,0,Unknown,No Data,,
104,30-12-99,Turtle,Green Sea Turtle,Live,Ocean Shores,Washington,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,,
105,12-01-00,Turtle,Green Sea Turtle,Dead,Moolak,Oregon,-124.062,44.7,Estimate,0,0,0,Unknown,No Data,,
106,26-01-00,Turtle,Green Sea Turtle,Dead,Ocean Shores,Washington,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,,
107,23-02-00,Turtle,Green Sea Turtle,Alive,"Lompoc, Surf Beach",California,-120.605,34.683,Estimate,0,0,0,No Data,No Data,,
108,19-03-00,Turtle,Green Sea Turtle,Live,Gearheart,Oregon,-123.927,46.025,Estimate,0,0,0,Unknown,No Data,,
109,22-03-00,Turtle,Green Sea Turtle,Alive,"San Diego, San Diego Bay",California,-117.144,32.674,Estimate,0,0,0,No Data,No Data,,
110,16-04-00,Turtle,Green Sea Turtle,Alive,"Avila Beach, Diablo Canyon Nuclear Generating Station, Unit 1 Forebays #2-4",California,-120.856,35.211,Estimate,0,0,0,No Data,No Data,,
111,30-05-00,Turtle,Green Sea Turtle,Alive,"Point Reyes National Seashore, Kehoe Beach, Point Reyes National Seashore",California,-122.948,38.155,Exact,0,0,0,No Data,No Data,,
112,19-06-00,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station, Unit 2",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
113,09-08-00,Turtle,Green Sea Turtle,Advanced Decomposition,"Huntington Beach, Huntington City Beach",California,-117.997,33.656,Estimate,0,0,0,No Data,No Data,,
114,16-08-00,Turtle,Green Sea Turtle,Dried Mummified / Skeleton,"Cayucos, Approximately 2 Kilometers South Of Villa Creek",California,-120.903,35.447,Estimate,0,0,0,No Data,No Data,,
115,19-08-00,Turtle,Green Sea Turtle,Alive,"Ocean Cove, Ocean Cove Reserve",California,-123.299,38.549,Estimate,0,0,0,No Data,No Data,,
116,29-08-00,Turtle,Green Sea Turtle,Moderate Decomposition,"Long Beach, Los Alamitos Bay At Mouth Of San Gabriel River",California,-118.115,33.741,Exact,0,0,0,No Data,No Data,,
117,03-11-00,Turtle,Green Sea Turtle,Alive,"Coronado, Silver Strand State Beach",California,-117.142,32.634,Estimate,0,0,0,No Data,No Data,,
118,18-11-00,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station, Unit 3",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
119,16-12-00,Turtle,Green Sea Turtle,Alive,"Sausalito, Richardson Bay Marina, 1/4 Mile Out From Margaritaville",California,-122.505,37.875,Estimate,0,0,0,No Data,No Data,,
120,23-01-01,Turtle,Green Sea Turtle,Alive,"Manila, Manila Beach",California,-124.17,40.852,Estimate,0,0,0,No Data,No Data,,
121,27-02-01,Turtle,Green Sea Turtle,Alive,"Avila Beach, Diablo Canyon Nuclear Generating Station, 8 1/2 Mile Northwest Of Avila Beach",California,-120.856,35.211,Estimate,0,0,0,No Data,No Data,,
122,21-04-01,Turtle,Green Sea Turtle,Fresh Dead,Cascade Creek Beach,California,-122.337,37.136,Exact,0,0,0,No Data,No Data,,
123,24-07-01,Turtle,Green Sea Turtle,Moderate Decomposition,"Carlsbad, Encina Power Plant",California,-117.339,33.137,Exact,0,0,0,No Data,No Data,,
124,04-09-01,Turtle,Green Sea Turtle,Alive,"Redondo Beach, Redondo Beach Generating Station",California,-118.408,33.875,Estimate,0,0,0,No Data,No Data,,
125,01-10-01,Turtle,Green Sea Turtle,No Data,"Chapin, Admiralty",Alaska,-134.324,57.135,Estimate,0,0,0,No Data,No Data,,
126,07-01-02,Turtle,Green Sea Turtle,Advanced Decomposition,"Huntington Beach, Huntington City Beach, South Of Goldenwest Street",California,-118.017,33.667,Exact,0,0,0,No Data,No Data,,
127,27-02-02,Turtle,Green Sea Turtle,Moderate Decomposition,"Ferndale, 4.5 Miles West Of Ferndale; Centerville Beach; T2n R3w Sec12 Hm.",California,-124.349,40.574,Estimate,0,0,0,No Data,No Data,,
128,14-05-02,Turtle,Green Sea Turtle,Advanced Decomposition,"National City, Sweetwater River Outflow Into San Diego Bay",California,-117.116,32.646,Exact,0,0,0,No Data,No Data,,
129,14-07-02,Turtle,Green Sea Turtle,Alive,"Pebble Beach, Stillwater Cove, In Offshore Kelp",California,-121.944,36.563,Exact,0,0,0,No Data,No Data,,
130,15-08-02,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station, Unit 2",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
131,03-11-02,Turtle,Green Sea Turtle,No Data,Kodiak,Alaska,-152.403,57.787,Estimate,0,0,0,No Data,No Data,,
132,24-09-03,Turtle,Green Sea Turtle,Alive,"Carlsbad, Encina Power Station, Agua Hedionda Lagoon, ",California,-117.339,33.137,Exact,0,0,0,No Data,No Data,,
133,27-01-04,Turtle,Green Sea Turtle,Live,Westport,Washington,-117.332,33.147,Exact,0,0,0,Unknown,No Data,,
134,11-07-04,Turtle,Green Sea Turtle,Alive,"Carlsbad, Encina Power Plant",California,-117.339,33.137,Exact,0,0,0,No Data,No Data,,
135,16-07-04,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
136,05-08-04,Turtle,Green Sea Turtle,Moderate Decomposition,"San Diego, Offshore Southwest Marine Shipyard, Just South Of Coronado Bridge  In San Diego Bay",California,-117.148,32.691,Estimate,0,0,0,No Data,No Data,,
137,16-08-04,Turtle,Green Sea Turtle,Fresh Dead,"El Segundo, El Segundo Power Plant",California,-118.425,33.91,Estimate,0,0,0,No Data,No Data,,
138,30-08-04,Turtle,Green Sea Turtle,Fresh Dead,"Huntington Beach, Offshore Bolsa Chica State Beach",California,-118.056,33.703,Estimate,0,0,0,No Data,No Data,,
139,13-09-04,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
140,17-10-04,Turtle,Green Sea Turtle,No Data,"Long Beach, Belmont Shore, At Grand Avenue & Ocean Boulevard",California,-118.149,33.758,Estimate,0,0,0,No Data,No Data,,
141,22-10-04,Turtle,Green Sea Turtle,No Data,"Long Beach, Treasure Island Marina, At 5643 Corso Di Napoli",California,-118.125,33.752,Exact,0,0,0,No Data,No Data,,
142,25-10-04,Turtle,Green Sea Turtle,No Data,"Long Beach, Alamitos Bay Beach, At 54Th Place And Bay Shore Drive",California,-118.131,33.755,Exact,0,0,0,No Data,No Data,,
143,26-10-04,Turtle,Green Sea Turtle,No Data,"Long Beach, Belmont Shore, At Claremont Avenue And Ocean Boulevard",California,-118.133,33.753,Exact,0,0,0,No Data,No Data,,
144,16-03-05,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
145,14-06-05,Turtle,Green Sea Turtle,Alive,"Seal Beach, North End Of Seal Beach Near San Gabriel River Outflow",California,-118.114,33.74,Exact,0,0,0,No Data,No Data,,
146,22-08-05,Turtle,Green Sea Turtle,Advanced Decomposition,"San Pedro, Offshore Cabrillo Beach Breakwater",California,-118.278,33.706,Exact,0,0,0,No Data,No Data,,
147,09-09-05,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
148,08-10-05,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station, Unit 2",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
149,20-05-06,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Staton",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
150,07-06-06,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 2",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
151,11-08-06,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
152,04-09-06,Turtle,Green Sea Turtle,Alive,"Long Beach, 225 Marina Drive, Alamitos Bay",California,-118.113,33.75,Exact,0,0,0,No Data,No Data,,
153,09-11-06,Turtle,Green Sea Turtle,Advanced Decomposition,"Newport Beach, Newport Beach",California,-117.906,33.603,Estimate,0,0,0,No Data,No Data,,
154,07-01-07,Turtle,Green Sea Turtle,Alive,Gleneden Beach,Oregon,-124.0297,44.9102,Estimate,0,0,0,Unknown,No Data,,
155,07-01-07,Turtle,Green Sea Turtle,Live,Lincoln Beach,Oregon,-124.046,44.852,Estimate,0,0,0,Unknown,No Data,,
156,27-01-07,Turtle,Green Sea Turtle,Live,Westport,Washington,-124.115,46.9,Estimate,0,0,0,No Data,No Data,,
157,11-05-07,Turtle,Green Sea Turtle,Moderate Decomposition,"Newport Beach, Newport Beach",California,-117.906,33.603,Estimate,0,0,0,No Data,No Data,,
158,23-07-07,Turtle,Green Sea Turtle,Alive,"Avila Beach, Diablo Canyon Nuclear Power Plant Intake Structure Forebay 2-1",California,-120.856,35.211,Estimate,0,0,0,No Data,No Data,,
159,04-09-07,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 2",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
160,21-11-07,Turtle,Green Sea Turtle,Fresh Dead,"Long Beach, East Of Belmont Pier",California,-118.147,33.757,Exact,0,0,0,No Data,No Data,,
161,29-11-07,Turtle,Green Sea Turtle,Alive,"San Onofre, San Onofre Nuclear Generating Station Unit 3",California,-117.555,33.368,Estimate,0,0,0,No Data,No Data,,
162,20-12-07,Turtle,Green Sea Turtle,No Data,Ketchikan,Alaska,-131.638,55.345,Estimate,0,0,0,No Data,No Data,,
163,06-02-08,Turtle,Green Sea Turtle,Moderate Decomposition,"Coronado, Coronado Cays",California,-117.137,32.627,Estimate,0,0,0,No Data,No Data,,
164,02-03-08,Turtle,Green Sea Turtle,Dead,South Sand Point,Washington,-122.25,47.676,Estimate,0,0,0,Unknown,No Data,,
165,12-03-08,Turtle,Green Sea Turtle,Moderate Decomposition,"San Diego, San Diego Bay",California,-117.144,32.675,Estimate,0,0,0,No Data,No Data,,
166,26-08-08,Turtle,Green Sea Turtle,Alive,"Long Beach/Seal Beach, Haynes Generating Station Intake Canal On Boundary Line Between La And Orange County",California,0,0,No Data,0,0,0,No Data,No Data,,
167,27-08-08,Turtle,Green Sea Turtle,Alive,"Carlsbad, Encina Power Station Intake Racks",California,0,0,No Data,0,0,0,No Data,No Data,,
