DBID,Date,Time,Finder Name,Contact No.,Animal Type,Species,Age,Alive/Dead,Area,State,Mile Marker,High Tide Dist.,Longitude,Latitude,Est/Exact,Length,Width,Weight,Sex,Entangled,Entangling Item,Injured,Injury Desc.,Notes,,,,,,,,,,,,,,,,,,,,,,,
11,01-10-76,00:00,,,Turtle,Green Sea Turtle,,Alive,Point Macartney,Alaska,,,-134.044,57.024,Estimate,,,,,,,,,SIGHTING,,,,,,,,,,,,,,,,,,,,,,,
12,01-11-76,00:00,,,Turtle,Green Sea Turtle,,No Data,Eliza Harbor,Alaska,,,-134.29,57.209,Estimate,,,,,,,,,CARCASS,,,,,,,,,,,,,,,,,,,,,,,
13,01-09-81,00:00,,,Turtle,Green Sea Turtle,,Alive,"Dundas Island, B.C.",Alaska,,,-130.857,54.574,Estimate,,,,,,,,,REPEATED SIGHTINGS,,,,,,,,,,,,,,,,,,,,,,,
14,22-04-83,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Huntington Beach, Between Orange County Sanitation District Stations 15N & 21N, North Of Huntington Pier",California,,,-118.005,33.657,Estimate,,,,,,,,,Contact: ORANGE COUNTY SANITATION DISTRICT PERSONNEL,,,,,,,,,,,,,,,,,,,,,,,
15,16-07-83,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,"Original Weight on form was 25 lbs. 3 DISTINCT SCARS ON FORWARD EDGE OF CARAPACE; PHOTO RETAINED BY KEVIN T HERBINSON, SOUTHERN CALIFORNIA EDISON COMPANY..  Contact: KEVIN HERBINSON, SOUTHERN CALIFORNIA EDISON, ROSEMEAD; THREE DISTINCT SCARS ON FORWARD ED",,,,,,,,,,,,,,,,,,,,,,,
16,03-08-83,00:00,,,Turtle,Green Sea Turtle,,Alive,"Montecito, Butterfly Beach",California,,,-119.648,34.417,Estimate,,,,,,,,,"Original Weight on form was 52 lbs. ANIMAL BROUGHT TO ZOO BY A PRIVATE CITIZEN; EYES SUNKEN WITH HEAVY MUCUS PRIOR TO DEATH; VERY LETHARGIC..  Contact: JEFF BERGLUND, SANTA BARBARA ZOOLOGICAL GARDENS, SANTA BARBARA",,,,,,,,,,,,,,,,,,,,,,,
17,30-07-84,00:00,,,Turtle,Green Sea Turtle,,Alive,"Seal Beach, San Gabriel River, North Of Pacific Coast Highway",California,,,-118.114,33.74,Estimate,,,,,,,,,"Original Weight on form was 200 lbs. LARGE TURTLE SIGHTED WITH FISHING LINE WRAPPED AROUND TAIL & ATTACHED TO PIECE OF WOOD ABOUT 2 FEET LONG; FINAL STATUS OF THIS ANIMAL IS UNKNOWN.  Contact: SHERIDAN STONE, NMFS/SWR, TERMINAL ISLAND",,,,,,,,,,,,,,,,,,,,,,,
18,15-09-85,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Huntington Beach, South Bolsa Chica State Beach",California,,,-118.035,33.695,Estimate,,,,,,,,,"Original Weight on form was 20 lbs. VERY DECOMPOSED; SHELL BROKEN & HEAD SMASHED BY PRIVATE CITIZENS.  Contact: DAVID GRAHAM, CALIFORNIA DEPARTMENT OF PARKS AND RECREATION, OCEANO",,,,,,,,,,,,,,,,,,,,,,,
19,20-10-85,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Redondo Beach, Redondo Beach Generating Station",California,,,-118.408,33.875,Estimate,,,,,,,,,"Original Length on form was 22 IN.  Original CCL on form was 22 in. LENGTH = CURVILINEAR CARAPACE LENGTH; PLATES SLOUGHING FROM CARAPACE; DAMAGED SPECIMEN; SEEMS TO HAVE ENTERED ALIVE; DIED IN PIPES OR HEAT TREATMENT; NOT REPORTED TO K HERBINSON, SOUTHERN",,,,,,,,,,,,,,,,,,,,,,,
20,02-10-86,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,"Original Weight on form was 40 lbs. ACCIDENTAL ENTRAPMENT IN COOLING WATER INTAKE, PHOTOS TAKEN; RELEASED BY FRIENDS OF SEA LIONS.  Contact: DUNKEN TURRENTINE, SAN ONOFRE NUCLEAR GENERATING STATION, SAN ONOFRE",,,,,,,,,,,,,,,,,,,,,,,
21,19-06-88,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"La Jolla, Beach North Of Scripp's Pier, Just Below Southwest Fisheries Science Center Building",California,,,-117.253,32.866,Estimate,,,,,,,,,Original Length on form was 18 IN.  SHELL CRUSHED,,,,,,,,,,,,,,,,,,,,,,,
22,29-07-88,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Long Beach, Alamitos Bay, At Rusty Pelican Restaurant",California,,,-117.928,33.616,Estimate,,,,,,,,,Original Length on form was 100 CM.  Original Weight on form was 125 lbs. TWO PROPELLER-LIKE SLASHES IN CARAPACE; RECORDED LENGTH = HEAD TO TAIL LENGTH,,,,,,,,,,,,,,,,,,,,,,,
23,29-09-88,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Exact,,,,,,,,,"ANIMAL CAPTURED IN POWER PLANT INTAKE CHANNEL; NO APPARENT INJURIES; ANIMAL TRANSPORTED & RELEASED IN DANA POINT, JUST SOUTH OF DANA POINT HARBOR ENTRANCE; RECORDED LENGTH = HEAD TO TAIL LENGTH",,,,,,,,,,,,,,,,,,,,,,,
24,22-12-88,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Diego, Sail Bay Area,  Foot Of Cass Street, Mission Bay",California,,,-117.249,32.791,Exact,,,,,,,,,ILLNESS,,,,,,,,,,,,,,,,,,,,,,,
25,17-02-89,00:00,,,Turtle,Green Sea Turtle,,Alive,"Big Sur, Partington Cove, 50-75 Yards Offshore",California,,,-121.696,36.175,Estimate,,,,,,,,,Original Length on form was 28 IN.  Original CCL on form was 28.5 in. Original Weight on form was 99 lbs. TURTLE BROUGHT INTO SHORE BY 3 SURFERS & TAKEN TO MONTEREY BAY AQUARIUM; AQUARIUM PERSONNEL TRANSFERRED TURTLE TO SEAWORLD IN SAN DIEGO ON 02/25/89; ,,,,,,,,,,,,,,,,,,,,,,,
26,26-05-89,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Carlsbad, Carlsbad State Beach, Near Tamarack Avenue",California,,,-117.346,33.147,Estimate,,,,,,,,,LARGE PORTION OF SKULL EXPOSED DUE TO ROLLING IN SURF; NO APPARENT WOUNDS,,,,,,,,,,,,,,,,,,,,,,,
27,23-07-89,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Summerland, Lookout Park",California,,,-119.601,34.419,Estimate,,,,,,,,,Original Weight on form was 40 lbs. CARCASS BADLY DECOMPOSED; HEAD & PARTS OF FRONT & HIND FLIPPERS MISSING; ANTERIOR PORTION OF LEFT SIDE OF CARAPACE BROKEN,,,,,,,,,,,,,,,,,,,,,,,
28,01-08-89,00:00,,,Turtle,Green Sea Turtle,,Alive,"Playa Del Rey, Scattergood Generating Station",California,,,-118.429,33.916,Estimate,,,,,,,,,Original Length on form was 20 IN.  Original CCL on form was 20 in. Original Weight on form was 75 lbs. ANIMAL ENTERED CIRCULATED WATER SCREEN BAY THROUGH INTAKE TUNNEL; ANIMAL REMOVED BY CALIFORNIA DEPARTMENT OF FISH & GAME PERSONNEL & RELEASED OFF OF FL,,,,,,,,,,,,,,,,,,,,,,,
29,17-11-89,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live,Ocean Shores,Washington,0,0,-124.162,46.959,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
30,22-01-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,Cannon Beach,Oregon,0,0,-123.964,45.89,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
31,27-01-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,Sunset Beach,Oregon,0,0,-123.94,46.1,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
32,29-01-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live,Copalis Beach,Washington,0,0,-124.181,47.112,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
33,30-01-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,Kipsan Beach,Washington,0,0,-124.059,46.466,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
34,03-02-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,Twin Harbors,Washington,0,0,-124.114,46.856,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,*,,,,,,,,,,,,,,,,,,,,,,,
35,09-02-90,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Live,Sunset Beach,Oregon,0,0,-123.94,46.1,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
36,06-08-90,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Chula Vista, South San Diego Bay, Near South Bay Boat Yard",California,,,-117.106,32.631,Exact,,,,,,,,,Original Length on form was 79 CM.  CARCASS WITH 2 LARGE GASHES RUNNING PARALLEL; UNKNOWN IF COLLISION OCCURRED PRIOR TO OR AFTER DEATH;  ANIMAL HAD BEEN FEEDING PRIOR TO DEATH,,,,,,,,,,,,,,,,,,,,,,,
37,16-08-90,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Bodega Bay, Near Pinnacle Rock",California,,,-123.019,38.307,Exact,,,,,,,,,PARTIAL SPECIMEN; NO SKULL; FLIPPERS; PLASTRON OR CARAPACE FOUND; UNABLE TO RECORD LENGTH MEASUREMENT; BONES ASSEMBLED FOR COMPARISON WITH GREEN TURTLE SPECIMEN PREVIOUSLY CATALOGUED INTO MUSEUM COLLECTION,,,,,,,,,,,,,,,,,,,,,,,
38,16-08-90,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"San Diego, Pier 4, 32Nd Street Naval Base",California,,,-117.126,32.681,Exact,,,,,,,,,Original Length on form was 99 CM.  POSSIBLE BOAT COLLISION; CARAPACE SPLIT OPEN ALONG CENTER FROM FRONT TOBACK; SLIT = SEVERAL INCHES IN WIDTH; A2782 REAR FLIPPER TAG,,,,,,,,,,,,,,,,,,,,,,,
39,23-08-90,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"San Diego, Vicinity Of Mission Bay Visitor Center",California,,,-117.21,32.789,Exact,,,,,,,,,"Original Length on form was 57 CM.  POSSIBLE BOAT COLLISION; CARAPACE CRACKED & SHATTERED, WITH PARALLEL CUTS (PROPELLER DAMAGE?); ADDITIONAL CUT ACROSS LEFT EYE, PENETRATING TO BONE",,,,,,,,,,,,,,,,,,,,,,,
40,14-09-90,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 25.25 IN.  Original CCL on form was 25.25 in. Original Weight on form was 80 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED ALIVE AT SAN ONOFRE STATE BEACH,,,,,,,,,,,,,,,,,,,,,,,
41,26-09-90,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 25.25 IN.  Original CCL on form was 25.25 in. Original Weight on form was 80 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT CAMP PENDLETON BEACH 51,,,,,,,,,,,,,,,,,,,,,,,
42,03-10-90,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 24 IN.  Original CCL on form was 24 in. Original Weight on form was 40 lbs.,,,,,,,,,,,,,,,,,,,,,,,
43,25-10-90,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Seal Beach, Jetty, East Of Seal Beach Pier, Just Adjacent To Anaheim Bay",California,,,-118.099,33.734,Estimate,,,,,,,,,Original Length on form was 64.3 CM.  ,,,,,,,,,,,,,,,,,,,,,,,
44,30-10-90,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,"Original Length on form was 24 IN (estimated).  Original CCL on form was 24 in. Original Weight on form was 45 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT CAMP PENDLETON, BEACH 52; NO APPARENT INJURIES",,,,,,,,,,,,,,,,,,,,,,,
45,16-12-90,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Newport Beach, 61St Street",California,,,-117.949,33.625,Exact,,,,,,,,,Original Length on form was 57 CM.  CARCASS WITH HALF OF SKULL MISSING,,,,,,,,,,,,,,,,,,,,,,,
46,21-02-91,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,"Original Length on form was 22 IN (estimated).  Original CCL on form was 22 in. Original Weight on form was 25 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED ALIVE AT CAMP PENDLETON, BEACH 52; NO APPARENT INJURIES",,,,,,,,,,,,,,,,,,,,,,,
47,14-03-91,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,LENGTH MEASUREMENT IS FROM NOSE TO END OF SHELL; CARAPACE WIDTH = 50 CM; BARNACLES REMOVED FROM SHELL,,,,,,,,,,,,,,,,,,,,,,,
48,07-08-91,00:00,,,Turtle,Green Sea Turtle,,Alive,"Playa Del Rey, Scattergood Generating Station",California,,,-118.429,33.916,Exact,,,,,,,,,Original Length on form was 21.5 IN.  Original CCL on form was 21.5 in. Original Weight on form was 35 lbs. ANIMAL ENTERED CIRCULATING WATER SCREEN BAY THROUGH INTAKE TUNNEL; ANIMAL REMOVED BY CALIFORNIA DEPARTMENT OF FISH & GAME PERSONNEL & RELEASED AT K,,,,,,,,,,,,,,,,,,,,,,,
49,06-09-91,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 26 IN.  Original CCL on form was 26 in. Original Weight on form was 70 lbs. ANIMAL REMOVED FROM INTAKE CHANNEL & RELEASED TWO MILES NORTH OF POWER PLANT; NO TAGS APPLIED,,,,,,,,,,,,,,,,,,,,,,,
50,08-09-91,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"San Diego, Emory Mudflat, San Diego Bay",California,,,-117.13,32.654,Estimate,,,,,,,,,Original Length on form was 52.5 IN.  Original CCL on form was 52.5 in. WAD OF MONOFILAMENT LINE LODGED IN MOUTH & THROAT; RECORDED LENGTH = CURVILINEAR CARAPACE LENGTH,,,,,,,,,,,,,,,,,,,,,,,
51,06-11-91,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Unknown,Pistol River,Oregon,0,0,-124.406,42.276,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,Turtle was Live when found but died shortly thereafter. ,,,,,,,,,,,,,,,,,,,,,,,
52,03-05-92,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Del Mar, Del Mar City Beach, 1/2 Mile North Of 17Th Street",California,,,-117.268,32.963,Exact,,,,,,,,,NECROPSY REVEALED NO FOREIGN OBJECTS IN GASTRO-INTESTINAL TRACT; SEVERE DECOMPOSITION OF VISCERAL ORGANS; CAUSE OF DEATH UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,
53,06-05-92,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 24 IN.  Original CCL on form was 24 in. Original Weight on form was 45 lbs. ANIMAL REMOVED FROM WATER COOLING SYSTEM & RELEASED ALIVE AT DANA POINT; ANIMAL IN NO APPARENT DISTRESS; METAL TAG #X762 ATTACHED TO RIGHT FRONT FLIPPE,,,,,,,,,,,,,,,,,,,,,,,
54,03-06-92,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 24 IN.  Original CCL on form was 23.75 in. Original Weight on form was 50 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT SAN ONOFRE STATE BEACH; ANIMAL TAGGED WITH MONEL TAG #X-763 ON LEFT FRONT FLIPPER & MONEL ,,,,,,,,,,,,,,,,,,,,,,,
55,13-07-92,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,"Original Length on form was 25.1 IN.  Original CCL on form was 25.1 in. Original Weight on form was 40 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & HELD AT SCE LABORATORY TO RECOVER FROM EXHAUSTION (ANIMAL WAS SLUGGISH, MINOR LACERATIONS ON CARAPACE, B",,,,,,,,,,,,,,,,,,,,,,,
56,30-07-92,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 22.1 IN.  Original CCL on form was 22.1 in. Original Weight on form was 35 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT PENDLETON BEACH; NMFS METAL TAG #X-765 PLACED ON RIGHT FRONT FLIPPER & TAG #X-766 PLACED ON ,,,,,,,,,,,,,,,,,,,,,,,
57,13-08-92,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 21.75 IN.  Original CCL on form was 21.75 in. Original Weight on form was 50 lbs. ANIMAL REMOVED FROM WATER COOLING SYSTEM & RELEASED AT PENDLETON BEACH; METAL TAG #X-772 PLACED ON RIGHT FRONT FLIPPER; METAL TAG #X-773 PLACEDON,,,,,,,,,,,,,,,,,,,,,,,
58,09-09-92,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 27.5 IN.  Original CCL on form was 27.5 in. Original Weight on form was 65 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED AT PENDLETON BEACH; METALTAG # X-767 APPLIED TO LEFT FRONT FLIPPER; METAL TAG # 768 APPLIED TO ,,,,,,,,,,,,,,,,,,,,,,,
59,16-09-92,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 18.75 IN.  Original CCL on form was 18.75 in. Original Weight on form was 35 lbs. ANIMAL REMOVED FROM WATER COOLING SYSTEM & RELEASED AT PENDLETON BEACH; METAL TAG # X-770 AFFIXED TO LEFT FRONT FLIPPER; METAL TAG # X-771 AFFIXE,,,,,,,,,,,,,,,,,,,,,,,
60,10-11-92,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Pebble Beach, Off 17-Mile Drive Near China Rock",California,,,-121.959,36.605,Exact,,,,,,,,,Original Length on form was 93 CM.  Original Weight on form was 65 lbs. ORGANS AUTOBSYED,,,,,,,,,,,,,,,,,,,,,,,
61,01-10-93,00:00,,,Turtle,Green Sea Turtle,,,Homer (Bishop Beach),Alaska,,,-151.54,59.637,Estimate,,,,,,,,,CARCASS,,,,,,,,,,,,,,,,,,,,,,,
62,01-10-93,00:00,,,Turtle,Green Sea Turtle,,Alive,Seldovia,Alaska,,,-151.717,59.439,Estimate,,,,,,,,,SIGHTING,,,,,,,,,,,,,,,,,,,,,,,
63,20-10-93,00:00,,,Turtle,Green Sea Turtle,,,Homer,Alaska,,,-151.546,59.64,Estimate,,,,,,,,,"SHOULDER, SKIN AND MUSCLE TO PRATT MUSEUM",,,,,,,,,,,,,,,,,,,,,,,
64,21-03-94,00:00,no data,no data,Turtle,Green Sea Turtle,no data,Dead,Tahkenich Creek,Oregon,0,0,-124.166,43.815,Estimate,0,0,0,Unknown,No Data,No Data,No Data,,,,,,,,,,,,,,,,,,,,,,,,,
65,27-04-94,00:00,,,Turtle,Green Sea Turtle,,,"Avila Beach, Diablo Canyon Nuclear Generating Station",California,,,-120.856,35.211,Estimate,,,,,,,,,Original Length on form was 97 CM.  Original Weight on form was 55 lbs. ANIMAL REMOVED FROM INTAKE COVE & RELEASED UNHARMED APPROXIMATELY 0.5 MILE OFFSHORE FROM POWER PLANT,,,,,,,,,,,,,,,,,,,,,,,
66,09-09-94,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 19 IN.  Original CCL on form was 19 in. Original Weight on form was 25 lbs. ANIMAL REMOVED FROM COOLING WATER SYSTEM & RELEASED IMMEDIATELY AT PENDLETON BEACH IN GOOD CONDITION; METAL NMFS TAGS PLACED ON FRONT FLIPPERS. X-182 O,,,,,,,,,,,,,,,,,,,,,,,
67,14-09-94,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"San Diego, Mission Bay",California,,,-117.238,32.77,Estimate,,,,,,,,,Original Length on form was 62 CM.  LENGTH CURVILINEAR,,,,,,,,,,,,,,,,,,,,,,,
68,28-10-94,00:00,,,Turtle,Green Sea Turtle,,Alive,"Huntington Beach, Huntington Harbor",California,,,-118.064,33.721,Estimate,,,,,,,,,Original Length on form was 24 IN (estimated).  Original CCL on form was 24 in. ANIMAL PICKED UP BY ORANGE COUNTY HARBOR PATROL AT ENTRANCE TO MARINA; VERY LETHARGIC; EYES CLOUDED; UNABLE TO KEEP HEAD ERECT; ANIMAL TAKEN TO ENTRANCE OF ANAHEIM BAY & RELEA,,,,,,,,,,,,,,,,,,,,,,,
69,09-08-95,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"Mission Beach, Tecolote Shores Beach Lifeguard Tower, Mission Bay",California,,,-117.21,32.773,Estimate,,,,,,,,,Original Length on form was 76 CM.  LENGTH = CURVILINEAR CARAPACE LENGTH;  3 OBVIOUS PROPELLER CUTS ON CARAPACE; ,,,,,,,,,,,,,,,,,,,,,,,
70,20-08-95,00:00,,,Turtle,Green Sea Turtle,,Advanced Decomposition,"Huntington Beach, Bolsa Chica State Beach, Lifeguard Tower 24",California,,,-118.056,33.703,Estimate,,,,,,,,,Original Length on form was 47 CM.  Original Weight on form was 20 lbs. LENGTH = CURVILINEAR CARAPACE LENGTH,,,,,,,,,,,,,,,,,,,,,,,
71,10-10-95,00:00,,,Turtle,Green Sea Turtle,,Fresh Dead,"Seal Beach, San Gabriel River Mouth, 1St Street",California,,,-118.114,33.741,Exact,,,,,,,,,Original Weight on form was 70 lbs. NO EXTERNAL SIGNS OF INJURY,,,,,,,,,,,,,,,,,,,,,,,
72,19-01-96,00:00,,,Turtle,Green Sea Turtle,,Moderate Decomposition,"Coronado, Silver Strand State Beach - Just S. Of City On Bayside Of Strand",California,,,-117.132,32.609,Exact,,,,,,,,,QUITE DECOMPOSED WITH BROKEN SHELL; LOOKED LIKE IT MAY HAVE BEEN HIT BY A BOAT OR SOME OTHER BLUNT OBJECT TO BREAK SHELL. ,,,,,,,,,,,,,,,,,,,,,,,
73,08-05-96,00:00,,,Turtle,Green Sea Turtle,,Alive,"San Onofre, San Onofre Nuclear Generating Station, Unit 2",California,,,-117.555,33.368,Estimate,,,,,,,,,Original Length on form was 22.5 IN.  Original CCL on form was 22.5 in. Original Weight on form was 30 lbs. TRAPPED SWIMMING IN INTAKE SCREEN WELL; RELEASED ON PENDLETON BEACH IN GOOD CONDITION; NATIONAL MARINE FISHERIES SERVICE TAGS WERE APPLIED AS FOLLO,,,,,,,,,,,,,,,,,,,,,,,
74,22-05-96,00:00,,,Turtle,Green Sea Turtle,,Alive,"Moss Landing, Salinas River State Beach - Near Mouth Of Salinas River",California,,,-121.786,36.801,Exact,,,,,,,,,Original Length on form was 40 IN (estimated).  Original Weight on form was 93.5 lbs. FIRST REPORTED IN WATER OFF DEL MONTE BEACH ON 5/21/96; ANIMAL DIED APPROXIMATELY 8 HOURS AFTER STRANDING; ,,,,,,,,,,,,,,,,,,,,,,,
